County,"Confirmed
Cases",Fatalities
Anderson,"4,790",112
Andrews,"1,710",47
Angelina,"4,706",268
Aransas,893,35
Archer,680,12
Armstrong,109,6
Atascosa,"4,136",143
Austin,"1,645",34
Bailey,594,18
Bandera,935,27
Bastrop,"6,710",88
Baylor,122,11
Bee,"3,077",68
Bell,"21,260",392
Bexar,"171,335","3,218"
Blanco,577,19
Borden,21,2
Bosque,"1,329",33
Bowie,"4,643",198
Brazoria,"29,114",429
Brazos,"18,617",231
Brewster,821,12
Briscoe,77,5
Brooks,657,36
Brown,"1,963",116
Burleson,"1,869",38
Burnet,"3,947",61
Caldwell,"5,020",92
Calhoun,"1,692",20
Callahan,592,38
Cameron,"38,122","1,424"
Camp,804,42
Carson,257,14
Cass,"1,141",79
Castro,655,30
Chambers,"4,515",24
Cherokee,"2,244",132
Childress,"1,315",17
Clay,927,16
Cochran,227,14
Coke,219,11
Coleman,482,31
Collin,"71,525",782
Collingsworth,199,9
Colorado,"1,330",25
Comal,"5,025",279
Comanche,"1,159",51
Concho,227,8
Cooke,"3,101",65
Coryell,"6,717",83
Cottle,143,7
Crane,201,12
Crockett,217,15
Crosby,319,28
Culberson,329,8
Dallam,792,24
Dallas,"250,531","3,776"
Dawson,"1,716",68
DeWitt,"1,897",58
Deaf Smith,"2,000",64
Delta,175,11
Denton,"52,722",709
Dickens,100,10
Dimmit,"1,402",28
Donley,174,15
Duval,"1,074",39
Eastland,924,47
Ector,"8,507",349
Edwards,199,4
El Paso,"128,119","2,520"
Ellis,"18,304",300
Erath,"2,747",67
Falls,"1,853",29
Fannin,"2,560",105
Fayette,"1,494",56
Fisher,290,14
Floyd,323,29
Foard,87,9
Fort Bend,"53,759",617
Franklin,494,26
Freestone,"1,056",48
Frio,"2,138",47
Gaines,"1,416",42
Galveston,"31,337",384
Garza,219,22
Gillespie,"1,666",48
Glasscock,39,2
Goliad,279,13
Gonzales,"2,320",55
Gray,"1,724",54
Grayson,"10,979",335
Gregg,"5,980",338
Grimes,"3,182",66
Guadalupe,"10,352",200
Hale,"6,067",153
Hall,326,14
Hamilton,703,26
Hansford,369,23
Hardeman,311,12
Hardin,"2,520",102
Harris,"369,892","5,625"
Harrison,"2,392",102
Hartley,501,2
Haskell,197,26
Hays,"16,877",200
Hemphill,503,2
Henderson,"3,780",174
Hidalgo,"55,595","2,430"
Hill,"3,691",104
Hockley,"2,087",100
Hood,"4,216",122
Hopkins,"1,552",107
Houston,874,47
Howard,"2,997",100
Hudspeth,430,11
Hunt,"5,498",158
Hutchinson,"1,098",71
Irion,50,1
Jack,526,16
Jackson,"1,465",30
Jasper,937,83
Jeff Davis,147,4
Jefferson,"18,668",376
Jim Hogg,573,15
Jim Wells,"3,566",92
Johnson,"16,361",352
Jones,"2,050",53
Karnes,"1,598",33
Kaufman,"12,946",233
Kendall,"1,636",69
Kenedy,17,2
Kent,39,2
Kerr,"2,198",83
Kimble,208,6
King,5,0
Kinney,324,6
Kleberg,"1,855",88
Knox,171,15
La Salle,880,24
Lamar,"2,620",151
Lamb,"1,557",80
Lampasas,"1,765",32
Lavaca,"1,892",74
Lee,979,37
Leon,"1,243",41
Liberty,"5,621",169
Limestone,"2,090",69
Lipscomb,278,12
Live Oak,866,20
Llano,"1,119",50
Loving,1,0
Lubbock,"48,433",773
Lynn,610,23
Madison,"1,682",27
Marion,340,33
Martin,363,18
Mason,246,6
Matagorda,"2,906",95
Maverick,"10,295",329
McCulloch,401,18
McLennan,"25,747",457
McMullen,64,5
Medina,"3,703",103
Menard,143,9
Midland,"16,829",258
Milam,"1,360",45
Mills,589,21
Mitchell,593,30
Montague,"1,730",68
Montgomery,"39,068",499
Moore,"1,960",70
Morris,569,33
Motley,36,8
Nacogdoches,"3,274",162
Navarro,"3,401",134
Newton,284,34
Nolan,"1,516",50
Nueces,"26,155",653
Ochiltree,936,25
Oldham,117,4
Orange,"3,988",124
Palo Pinto,"2,450",70
Panola,964,74
Parker,"12,136",169
Parmer,857,35
Pecos,"1,282",34
Polk,"1,397",103
Potter,"17,079",374
Presidio,639,24
Rains,393,25
Randall,"16,377",271
Reagan,198,8
Real,272,12
Red River,401,36
Reeves,"1,003",40
Refugio,570,20
Roberts,56,1
Robertson,"1,638",39
Rockwall,"8,952",145
Runnels,773,36
Rusk,"2,168",104
Sabine,167,40
San Augustine,327,30
San Jacinto,791,32
San Patricio,"3,165",144
San Saba,544,23
Schleicher,121,6
Scurry,"2,270",62
Shackelford,126,4
Shelby,893,64
Sherman,176,12
Smith,"11,197",439
Somervell,583,14
Starr,"7,565",283
Stephens,419,25
Sterling,49,4
Stonewall,49,6
Sutton,279,8
Swisher,401,17
Tarrant,"210,596","2,841"
Taylor,"7,106",386
Terrell,64,2
Terry,"1,682",54
Throckmorton,50,5
Titus,"2,681",83
Tom Green,"4,604",265
Travis,"78,193",933
Trinity,494,23
Tyler,546,36
Upshur,"1,311",67
Upton,71,9
Uvalde,"3,360",68
Val Verde,"7,763",211
Van Zandt,"2,537",112
Victoria,"8,050",192
Walker,"7,656",122
Waller,"3,228",45
Ward,682,21
Washington,"3,124",86
Webb,"43,003",750
Wharton,"3,472",110
Wheeler,439,10
Wichita,"14,742",367
Wilbarger,"1,598",55
Willacy,"2,352",84
Williamson,"36,556",438
Wilson,"3,164",65
Winkler,554,21
Wise,"5,923",115
Wood,"1,918",121
Yoakum,863,27
Young,"1,899",43
Zapata,"1,549",30
Zavala,"1,629",40
Unknown,0,22
Total,"2,368,222","46,478"
,,
,,
,,
,,